lambda_um,dlam_um,Fnu_Jy,eFnu_Jy,Flambda_cgs_A,eFlambda_cgs_A,filename,bunit
0.745811612,0.019074466,0.080071609,0.01525783,4.32E-14,8.22E-15,level2_2025W23_2B_0634_2D1_spx_l2b-v12-2025-176.fits,MJy / sr
0.763385825,0.019523935,0.085813159,0.010490985,4.41E-14,5.40E-15,level2_2025W23_2B_0634_3D1_spx_l2b-v12-2025-176.fits,MJy / sr
0.780969249,0.019973639,0.081794601,0.019220353,4.02E-14,9.45E-15,level2_2025W23_2B_0634_4D1_spx_l2b-v12-2025-176.fits,MJy / sr
0.818191178,0.020925607,0.098149844,0.008126035,4.40E-14,3.64E-15,level2_2025W23_1C_0073_2D1_spx_l2b-v12-2025-176.fits,MJy / sr
0.837301904,0.021414372,0.095966403,0.019762113,4.10E-14,8.45E-15,level2_2025W23_1C_0073_3D1_spx_l2b-v12-2025-176.fits,MJy / sr
0.877677499,0.022446996,0.106953276,0.019260515,4.16E-14,7.50E-15,level2_2025W22_2B_0511_1D1_spx_l2b-v12-2025-176.fits,MJy / sr
0.898326056,0.022975092,0.11484953,0.014109263,4.27E-14,5.24E-15,level2_2025W22_2B_0511_2D1_spx_l2b-v12-2025-176.fits,MJy / sr
0.919652384,0.023520522,0.112344729,0.013930918,3.98E-14,4.94E-15,level2_2025W22_2B_0511_3D1_spx_l2b-v12-2025-176.fits,MJy / sr
0.941848507,0.024088198,0.108329417,0.014680453,3.66E-14,4.96E-15,level2_2025W22_2B_0511_4D1_spx_l2b-v12-2025-176.fits,MJy / sr
0.959748876,0.024546008,0.115246245,0.025904,3.75E-14,8.43E-15,level2_2025W22_2B_0325_1D1_spx_l2b-v12-2025-176.fits,MJy / sr
0.964041656,0.024655798,0.11615035,0.022678173,3.75E-14,7.32E-15,level2_2025W22_2B_0569_1D1_spx_l2b-v12-2025-176.fits,MJy / sr
0.982665575,0.025132113,0.122249175,0.020367171,3.80E-14,6.32E-15,level2_2025W22_2B_0325_2D1_spx_l2b-v12-2025-176.fits,MJy / sr
1.006366817,0.025738283,0.126325745,0.024773358,3.74E-14,7.33E-15,level2_2025W22_2B_0325_3D1_spx_l2b-v12-2025-176.fits,MJy / sr
1.030029909,0.026343477,0.131394024,0.032202655,3.71E-14,9.10E-15,level2_2025W22_2B_0200_1D1_spx_l2b-v12-2025-176.fits,MJy / sr
1.054570029,0.026971102,0.13355104,0.019820945,3.60E-14,5.34E-15,level2_2025W22_2B_0200_2D1_spx_l2b-v12-2025-176.fits,MJy / sr
1.07982038,0.027616891,0.136306028,0.016697267,3.50E-14,4.29E-15,level2_2025W22_2B_0200_3D1_spx_l2b-v12-2025-176.fits,MJy / sr
1.099282364,0.026552713,0.141423465,0.041183022,3.51E-14,1.02E-14,level2_2025W21_2C_0527_2D2_spx_l2b-v12-2025-176.fits,MJy / sr
1.125071989,0.027175651,0.14857795,0.034632931,3.52E-14,8.20E-15,level2_2025W21_2C_0527_3D2_spx_l2b-v12-2025-176.fits,MJy / sr
